Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_20,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low,Daily_Return,Volatility_20,Target_Next_Close
2016-06-06,1244.5999755859375,1247.300048828125,1240.0,1244.4000244140625,1135,1225.860009765625,1247.353994140625,1240.114028208906,50.88115662236641,-8.43395948730722,-6.532189982593748,1294.3360830085733,1199.1439218742391,0.0036287396892122903,0.009539858424355766,1244.4000244140625
2016-06-07,1244.4000244140625,1244.9000244140625,1236.5,1244.0,281,1225.1900146484375,1247.843994140625,1240.5222183236829,50.78586183669754,-6.982743215326536,-6.622300629140307,1292.4864989631274,1198.8735108024975,-0.00016065497010864238,0.008395729949358716,1259.800048828125
2016-06-08,1259.800048828125,1264.0,1247.300048828125,1247.5999755859375,406,1228.2800170898438,1248.3279956054687,1242.3582021812488,57.40304105028063,-4.537683012336174,-6.205377105779481,1291.9955509837316,1198.9544612232996,0.012375461356418427,0.008895489874950084,1270.199951171875
2016-06-09,1270.199951171875,1271.4000244140625,1258.0999755859375,1262.5,381,1232.9500122070312,1249.193994140625,1245.0097973232132,61.19738377761074,-1.7407042274451214,-5.31244253011261,1291.261301256896,1199.248708508729,0.008255200778428451,0.008884902643812649,1273.4000244140625
2016-06-10,1273.4000244140625,1278.0,1265.300048828125,1267.5999755859375,397,1238.2800170898438,1249.9779956054688,1247.7136284747226,62.309885664947046,0.7257745005774723,-4.104799123974593,1291.772281293952,1199.0477260302669,0.002519346059834948,0.008869568745338724,1284.4000244140625
2016-06-13,1284.4000244140625,1287.300048828125,1273.0,1276.199951171875,328,1245.3400146484375,1251.2219970703125,1251.2075709451358,65.92628728833435,3.5274227974548467,-2.5783547396887054,1294.1140884180802,1197.9559189061385,0.008638291023326694,0.009068972650163707,1285.5999755859375
2016-06-14,1285.5999755859375,1289.699951171875,1277.800048828125,1281.800048828125,554,1252.4200073242187,1252.5739965820312,1254.4830380537835,66.30608837714105,5.777970442081369,-0.9070897033346907,1296.3784761787388,1196.9115262626674,0.0009342503496310162,0.009068211835725253,1285.800048828125
2016-06-15,1285.800048828125,1296.199951171875,1278.800048828125,1284.5999755859375,162,1259.810009765625,1253.7219970703125,1257.4656105084825,66.37339068321418,7.491334462836903,0.7725951298996281,1298.158538706659,1196.0914735003723,0.00015562635811061654,0.009059758929743596,1296.0999755859375
2016-06-16,1296.0999755859375,1316.4000244140625,1281.0999755859375,1296.300048828125,251,1268.4400024414062,1255.1939965820313,1261.1450738491924,69.72596651394115,9.569988927438771,2.5320738894074566,1302.447108991056,1194.0429056573814,0.008010519806092686,0.009195592251181618,1292.5
2016-06-17,1292.5,1300.0999755859375,1280.300048828125,1280.300048828125,129,1273.6800048828125,1256.3199975585937,1264.1312572921265,67.20399193267433,10.80232712017255,4.1861245355604755,1307.6735515779735,1192.6464679532767,-0.0027775446753712796,0.008426874865595842,1290.0
2016-06-20,1290.0,1291.199951171875,1280.300048828125,1288.9000244140625,153,1278.2200073242188,1257.2699975585938,1266.5949470738287,65.43398618531901,11.445300608836533,5.637959750215687,1312.1242106400657,1191.955806449778,-0.0019342359767892114,0.008436878396606074,1270.5
2016-06-21,1270.5,1293.9000244140625,1266.300048828125,1293.9000244140625,134,1280.8300048828125,1257.5459985351563,1266.9668568763213,53.58006293549537,10.263068434897377,6.562981487152026,1313.6262225840528,1192.3937969471972,-0.015116279069767424,0.009212617625914332,1268.0
2016-06-22,1268.0,1269.199951171875,1264.9000244140625,1267.0,53,1281.65,1257.717998046875,1267.065251459529,52.27261900373493,9.020429911897509,7.054471172101123,1314.862578264031,1195.0674388258126,-0.001967729240456517,0.008155030049421915,1261.199951171875
2016-06-23,1261.199951171875,1270.5,1255.199951171875,1263.4000244140625,218,1280.75,1258.00599609375,1266.5066514321334,48.78549586367459,7.401601761868733,7.123897290054646,1315.0159028509897,1198.6841093560415,-0.005362814533221627,0.008195270629329064,1320.0
2016-06-24,1320.0,1355.5999755859375,1253.699951171875,1253.699951171875,694,1285.4099975585937,1259.90599609375,1271.6012560576446,68.40984103425453,10.739542556404786,7.847026343324674,1323.5778413177684,1200.1121733306693,0.0466223050306096,0.012910238488368392,1322.5
2016-06-27,1322.5,1331.699951171875,1320.0,1330.0,92,1289.2199951171874,1261.6939965820313,1276.448755480726,68.95452860565067,13.43178058566923,8.963977191793585,1330.2635584420475,1204.2964513235777,0.0018939393939394478,0.012741355183692446,1315.300048828125
2016-06-28,1315.300048828125,1315.5999755859375,1314.0999755859375,1314.800048828125,1072,1292.1900024414062,1263.327998046875,1280.1488786566688,65.45421084690922,14.813660081089665,10.133913769652802,1333.7564595893577,1210.8535501762672,-0.005444197483459368,0.012909236444057254,1323.9000244140625
2016-06-29,1323.9000244140625,1327.4000244140625,1311.5999755859375,1311.5999755859375,414,1296.0,1264.7459985351563,1284.3156544430872,67.57170007258459,16.41355050081188,11.389841115884618,1336.6714762806307,1219.1385334849945,0.0065384134924952875,0.01282865926905011,1318.4000244140625
2016-06-30,1318.4000244140625,1323.5,1314.5,1315.800048828125,560,1298.2300048828124,1266.05,1287.5617849165135,64.83464592553263,17.04123045357619,12.520118983422933,1335.6405571636544,1231.0294501605642,-0.004154392249093086,0.01290186111859982,1336.699951171875
2016-07-01,1336.699951171875,1344.199951171875,1321.9000244140625,1324.5,137,1302.65,1267.8039990234374,1292.241610274167,69.2916799292037,18.798623657036615,13.77581991814567,1341.4403754411844,1234.889629441628,0.013880405354168346,0.01218234207098237,1356.4000244140625
2016-07-05,1356.4000244140625,1356.800048828125,1339.699951171875,1342.199951171875,90,1309.2900024414062,1270.3580004882813,1298.3519354303476,73.2258238367738,21.53278515875968,15.327212966268473,1350.894257510267,1236.615752255358,0.014737842419247915,0.012423708697377949,1364.9000244140625
2016-07-06,1364.9000244140625,1374.9000244140625,1359.0,1359.0,130,1318.7300048828124,1272.8780004882813,1304.6898486668917,74.73011929201891,24.107609296476994,17.08329223231018,1360.152445882248,1239.4075638833772,0.006266587914337318,0.012383074804653341,1360.0999755859375
2016-07-07,1360.0999755859375,1368.5999755859375,1350.5,1366.800048828125,207,1327.9400024414062,1275.2360009765625,1309.9670036115626,72.26105313644345,25.467281186787204,18.760090023205585,1367.6619343020325,1241.9280681393739,-0.00351677686443419,0.012374757143102702,1356.5999755859375
2016-07-08,1356.5999755859375,1365.800048828125,1335.0,1361.300048828125,249,1337.4800048828124,1277.3840014648438,1314.4082390376936,70.43369120827643,25.963123480485592,20.20069671466159,1373.7291588553467,1244.5008460274657,-0.002573340241765809,0.012411422447870312,1355.0
2016-07-11,1355.0,1371.800048828125,1353.0,1371.699951171875,26,1340.9800048828124,1279.1740014648437,1318.2741210341037,69.56761246544704,25.928094478887033,21.346176267506678,1378.5737310800437,1247.8162713613624,-0.0011794011607927368,0.012452215455247016,1334.0999755859375
2016-07-12,1334.0999755859375,1356.0,1330.300048828125,1353.5999755859375,252,1342.1400024414063,1280.072001953125,1319.7813452771354,59.30845567884903,23.93793482945989,21.86452797989732,1380.2652209229034,1251.0947766356906,-0.015424372261300778,0.013045666174788254,1342.4000244140625
2016-07-13,1342.4000244140625,1342.4000244140625,1336.699951171875,1341.5,7,1344.85,1281.0260034179687,1321.935505194938,61.72261206178942,22.76800811799899,22.045224007517653,1382.557637488699,1254.4823649527073,0.0062214593958593856,0.01307690468716576,1331.300048828125
