Date,Close,High,Low,Open,Volume
2016-03-28,26241.39051365271,26290.864466433017,26028.430105795607,26060.696754687087,33
2016-03-29,26579.11372170358,26579.11372170358,26194.06451975857,26196.217730377957,189732
2016-03-30,26179.355028728605,26565.568801201123,26104.67270679752,26488.753219585968,48248
2016-03-31,26335.119451642982,26450.344126422053,26128.14377274761,26151.6148386977,3377
2016-04-01,26031.914126070737,26308.80407629078,25755.024175850693,26247.038398167402,1602
2016-04-04,25985.534222187976,26077.274013633232,25921.53044331559,26064.47117440241,2038
2016-04-05,26118.553662232815,26295.02881536539,25842.14435674539,25842.14435674539,477
2016-04-06,26124.77484683905,26293.598044468425,26020.06152613443,26293.598044468425,248
2016-04-07,26443.37426775725,26586.694564928108,26195.24086860527,26199.520606376747,375
2016-04-08,26676.408942746235,26682.850975134046,26450.974500976547,26644.20402249342,409
2016-04-11,26886.331865002572,26929.120649771652,26561.13814540564,26561.13814540564,437
2016-04-12,26841.25292752589,26890.270645982702,26719.768804425163,26854.040045312377,185
2016-04-13,26582.73504715799,26798.07428718777,26465.470821112453,26789.54545931243,203
2016-04-14,26200.6486905675,26600.608569085918,26189.95454824482,26337.53423447273,264
2016-04-15,26418.2955754264,26459.002255797048,26259.755281770827,26259.755281770827,97
2016-04-18,26435.353047780034,26596.073825813593,26405.35131270082,26544.64265366324,304
2016-04-19,26752.788201891683,26821.110321570508,26236.095330225846,26295.876533364368,386
2016-04-20,26681.714026093192,26743.458061442336,26464.54821788071,26743.458061442336,180
2016-04-21,26585.06619847833,27044.823428932825,26555.26656538999,26557.39455383705,124
2016-04-22,26274.648635820657,26698.05495681456,26259.680806542478,26698.05495681456,188
2016-04-25,26548.930110616315,26591.788984758598,26392.49417363775,26392.49417363775,442
2016-04-26,26640.414044469773,26683.306356644374,26443.110455642192,26588.94536421143,97
2016-04-27,26690.933172451856,26697.344142298953,26678.113840963462,26678.113840963462,547
2016-04-28,26997.707455071217,27095.84162746917,26421.699473019125,26579.56884819988,887
2016-04-29,27537.7159507053,27672.2869727929,27067.789039550193,27069.92715693271,464
2016-05-02,27646.87078605535,27854.005011479006,27555.050654792394,27591.35121257715,192
